F S     PID    PPID CLS PRI  NI STAT CMD                         RTPRIO
4 S   97213   95417  TS  19   0 S+   sudo ./father                    -
4 S   97214   97213  RR  41   - SL+   \_ ./father                     1
4 S   97215   97214  RR  90   - SL+       \_ son                     50
4 S   97216   97214  RR  90   - SL+       \_ son                     50
0 S   97217   97214  RR  41   - S+        \_ sh -c ps -o f,s,pid      1
4 R   97218   97217  RR  41   - R+            \_ ps -o f,s,pid,p      1
4 S    1044    1030  TS  19   0 Ss   fusermount3 -o rw,nosuid,no      -
1 S       2       0  TS  19   0 S    [kthreadd]                       -
1 I       3       2  TS  39 -20 I<    \_ [rcu_gp]                     -
1 I       4       2  TS  39 -20 I<    \_ [rcu_par_gp]                 -
1 I       5       2  TS  39 -20 I<    \_ [slub_flushwq]               -
1 I       6       2  TS  39 -20 I<    \_ [netns]                      -
1 I       8       2  TS  39 -20 I<    \_ [kworker/0:0H-events_hi      -
1 I      10       2  TS  39 -20 I<    \_ [mm_percpu_wq]               -
1 I      12       2  TS  19   0 I     \_ [rcu_tasks_kthread]          -
1 I      13       2  TS  19   0 I     \_ [rcu_tasks_rude_kthread      -
1 I      14       2  TS  19   0 I     \_ [rcu_tasks_trace_kthrea      -
1 S      15       2  TS  19   0 S     \_ [ksoftirqd/0]                -
1 I      16       2  FF  41   - I     \_ [rcu_preempt]                1
1 S      17       2  FF  41   - S     \_ [rcub/0]                     1
1 S      18       2  FF 139   - S     \_ [migration/0]               99
1 S      19       2  FF  90   - S     \_ [idle_inject/0]             50
1 S      21       2  TS  19   0 S     \_ [cpuhp/0]                    -
5 S      22       2  TS  19   0 S     \_ [cpuhp/1]                    -
1 S      23       2  FF  90   - S     \_ [idle_inject/1]             50
1 S      24       2  FF 139   - S     \_ [migration/1]               99
1 S      25       2  TS  19   0 S     \_ [ksoftirqd/1]                -
1 I      27       2  TS  39 -20 I<    \_ [kworker/1:0H-events_hi      -
5 S      28       2  TS  19   0 S     \_ [cpuhp/2]                    -
1 S      29       2  FF  90   - S     \_ [idle_inject/2]             50
1 S      30       2  FF 139   - S     \_ [migration/2]               99
