top - 13:27:55 up 1 day,  4:11,  4 users,  load average: 2,15, 2,54, 2,66
Tasks: 275 total,   2 running, 271 sleeping,   0 stopped,   2 zombie
%Cpu(s): 41,7 us,  6,7 sy,  0,0 ni, 51,7 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :  15817,2 total,   1891,0 free,   6145,4 used,   7780,8 buff/cache
MiB Swap:   4096,0 total,   4085,4 free,     10,6 used.   7643,4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  53633 leksil    20   0    2484   1364   1364 R  93,8   0,0  12:57.29 procces
  51743 leksil    20   0 4029436 775268 336992 S  56,2   4,8  21:32.08 zoom
    626 root      20   0 1349368 253512  93340 S  25,0   1,6  43:07.92 Xorg
   1262 leksil    20   0  701292  68324  38872 S   6,2   0,4   3:31.26 wireplumber
  29635 leksil    20   0 1130,0g 695744 126672 S   6,2   4,3  12:38.91 msedge
  41646 leksil    20   0   23,5g 461344 146912 S   6,2   2,8  23:36.40 editors_helper
      1 root      20   0  167780  13472  10072 S   0,0   0,1   0:04.12 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.04 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par_gp
      5 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 slub_flushwq
      6 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 netns
      8 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/0:0H-events_high+
     10 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mm_percpu_wq
     12 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tasks_kthread
     13 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tasks_rude_kthread
     14 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tasks_trace_kthread
     15 root      20   0       0      0      0 S   0,0   0,0   0:12.20 ksoftirqd/0
     16 root      -2   0       0      0      0 I   0,0   0,0   0:13.41 rcu_preempt
     17 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 rcub/0
     18 root      rt   0       0      0      0 S   0,0   0,0   0:00.29 migration/0
     19 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/0
