UID          PID    PPID CLS PRI    SZ   RSS PSR STIME TTY      STAT   TIME CMD
root       34872   34467 TS   19  4252  7788   2 00:14 pts/5    S+     0:00 sudo ./prog3
root       34874   34872 RR   70   621  1280   0 00:14 pts/5    S+     0:00  \_ ./prog3
root       34875   34874 RR   70   621  1164   1 00:14 pts/5    S+     0:00      \_ ./prog3
root       34877   34875 RR   70  1870  3584   3 00:14 pts/5    S+     0:00      |   \_ sh -c ps xf -Fc > proc.txt
root       34879   34877 RR   70  2607  3840   1 00:14 pts/5    R+     0:00      |       \_ ps xf -Fc
root       34876   34874 RR   70  1870  3584   2 00:14 pts/5    S+     0:00      \_ sh -c ps xf -Fc > proc.txt
root       34878   34876 RR   70  2607  3680   0 00:14 pts/5    R+     0:00          \_ ps xf -Fc
root        1044    1030 TS   19   627  1884   3 мар27 ?     Ss     0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
root           2       0 TS   19     0     0   3 мар27 ?     S      0:00 [kthreadd]
root           3       2 TS   39     0     0   0 мар27 ?     I<     0:00  \_ [rcu_gp]
root           4       2 TS   39     0     0   0 мар27 ?     I<     0:00  \_ [rcu_par_gp]
root           5       2 TS   39     0     0   0 мар27 ?     I<     0:00  \_ [slub_flushwq]
root           6       2 TS   39     0     0   0 мар27 ?     I<     0:00  \_ [netns]
root           8       2 TS   39     0     0   0 мар27 ?     I<     0:00  \_ [kworker/0:0H-events_highpri]
root          10       2 TS   39     0     0   0 мар27 ?     I<     0:00  \_ [mm_percpu_wq]
root          12       2 TS   19     0     0   1 мар27 ?     I      0:00  \_ [rcu_tasks_kthread]
root          13       2 TS   19     0     0   0 мар27 ?     I      0:00  \_ [rcu_tasks_rude_kthread]
root          14       2 TS   19     0     0   1 мар27 ?     I      0:00  \_ [rcu_tasks_trace_kthread]
root          15       2 TS   19     0     0   0 мар27 ?     S      0:08  \_ [ksoftirqd/0]
root          16       2 FF   41     0     0   2 мар27 ?     I      0:10  \_ [rcu_preempt]
root          17       2 FF   41     0     0   2 мар27 ?     S      0:00  \_ [rcub/0]
root          18       2 FF  139     0     0   0 мар27 ?     S      0:00  \_ [migration/0]
root          19       2 FF   90     0     0   0 мар27 ?     S      0:00  \_ [idle_inject/0]
root          21       2 TS   19     0     0   0 мар27 ?     S      0:00  \_ [cpuhp/0]
root          22       2 TS   19     0     0   1 мар27 ?     S      0:00  \_ [cpuhp/1]
root          23       2 FF   90     0     0   1 мар27 ?     S      0:00  \_ [idle_inject/1]
root          24       2 FF  139     0     0   1 мар27 ?     S      0:00  \_ [migration/1]
root          25       2 TS   19     0     0   1 мар27 ?     S      0:00  \_ [ksoftirqd/1]
root          27       2 TS   39     0     0   1 мар27 ?     I<     0:00  \_ [kworker/1:0H-events_highpri]
root          28       2 TS   19     0     0   2 мар27 ?     S      0:00  \_ [cpuhp/2]
root          29       2 FF   90     0     0   2 мар27 ?     S      0:00  \_ [idle_inject/2]
root          30       2 FF  139     0     0   2 мар27 ?     S      0:00  \_ [migration/2]
root          31       2 TS   19     0     0   2 мар27 ?     S      0:00  \_ [ksoftirqd/2]
root          33       2 TS   39     0     0   2 мар27 ?     I<     0:00  \_ [kworker/2:0H-events_highpri]
root          34       2 TS   19     0     0   3 мар27 ?     S      0:00  \_ [cpuhp/3]
root          35       2 FF   90     0     0   3 мар27 ?     S      0:00  \_ [idle_inject/3]
root          36       2 FF  139     0     0   3 мар27 ?     S      0:00  \_ [migration/3]
root          37       2 TS   19     0     0   3 мар27 ?     S      0:04  \_ [ksoftirqd/3]
root          39       2 TS   39     0     0   3 мар27 ?     I<     0:00  \_ [kworker/3:0H-events_highpri]
root          40       2 TS   19     0     0   1 мар27 ?     S      0:00  \_ [kdevtmpfs]
root          41       2 TS   39     0     0   1 мар27 ?     I<     0:00  \_ [inet_frag_wq]
root          42       2 TS   19     0     0   1 мар27 ?     S      0:00  \_ [kauditd]
root          43       2 TS   19     0     0   0 мар27 ?     S      0:00  \_ [khungtaskd]
root          45       2 TS   19     0     0   1 мар27 ?     S      0:00  \_ [oom_reaper]
root          46       2 TS   39     0     0   1 мар27 ?     I<     0:00  \_ [writeback]
root          47       2 TS   19     0     0   0 мар27 ?     S      0:10  \_ [kcompactd0]
root          48       2 TS   14     0     0   1 мар27 ?     SN     0:00  \_ [ksmd]
root          50       2 TS    0     0     0   0 мар27 ?     SN     0:05  \_ [khugepaged]
root          51       2 TS   39     0     0   1 мар27 ?     I<     0:00  \_ [kintegrityd]
root          52       2 TS   39     0     0   1 мар27 ?     I<     0:00  \_ [kblockd]
root          53       2 TS   39     0     0   1 мар27 ?     I<     0:00  \_ [blkcg_punt_bio]
root          54       2 TS   39     0     0   2 мар27 ?     I<     0:00  \_ [tpm_dev_wq]
root          55       2 TS   39     0     0   0 мар27 ?     I<     0:00  \_ [ata_sff]
