Child 1: i = 0, pid = 37294, ppid = 37293
Child 1: i = 1, pid = 37294, ppid = 37293
Child 1: i = 2, pid = 37294, ppid = 37293
Child 1: i = 3, pid = 37294, ppid = 37293
Child 1: i = 4, pid = 37294, ppid = 37293
Child 1: i = 5, pid = 37294, ppid = 37293
Child 1: i = 6, pid = 37294, ppid = 37293
Child 1: i = 7, pid = 37294, ppid = 37293
Child 1: i = 8, pid = 37294, ppid = 37293
Child 1: i = 9, pid = 37294, ppid = 37293
Child 1: i = 10, pid = 37294, ppid = 37293
Child 1: i = 11, pid = 37294, ppid = 37293
Child 1: i = 12, pid = 37294, ppid = 37293
Child 1: i = 13, pid = 37294, ppid = 37293
Child 1: i = 14, pid = 37294, ppid = 37293
Child 1: i = 15, pid = 37294, ppid = 37293
Child 1: i = 16, pid = 37294, ppid = 37293
Child 1: i = 17, pid = 37294, ppid = 37293
Child 1: i = 18, pid = 37294, ppid = 37293
Child 1: i = 19, pid = 37294, ppid = 37293
Child 1: i = 20, pid = 37294, ppid = 37293
Child 1: i = 21, pid = 37294, ppid = 37293
Child 1: i = 22, pid = 37294, ppid = 37293
Child 1: i = 23, pid = 37294, ppid = 37293
Child 1: i = 24, pid = 37294, ppid = 37293
Child 1: i = 25, pid = 37294, ppid = 37293
Child 1: i = 26, pid = 37294, ppid = 37293
Child 1: i = 27, pid = 37294, ppid = 37293
Child 1: i = 28, pid = 37294, ppid = 37293
Child 1: i = 29, pid = 37294, ppid = 37293
Child 1: i = 30, pid = 37294, ppid = 37293
Child 1: i = 31, pid = 37294, ppid = 37293
Child 1: i = 32, pid = 37294, ppid = 37293
Child 1: i = 33, pid = 37294, ppid = 37293
Child 1: i = 34, pid = 37294, ppid = 37293
Child 1: i = 35, pid = 37294, ppid = 37293
Child 1: i = 36, pid = 37294, ppid = 37293
Child 1: i = 37, pid = 37294, ppid = 37293
Child 1: i = 38, pid = 37294, ppid = 37293
Child 1: i = 39, pid = 37294, ppid = 37293
Child 1: i = 40, pid = 37294, ppid = 37293
Child 1: i = 41, pid = 37294, ppid = 37293
